OTU	12o	7o	2o	11o	4o	5o	13o	6o	1o	14o	3o	9o	15o	10o	8o
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae	0.0006009254251547383	0.00018593696736806224	0.0011803144083887853	0.0009848289445916476	0.0012730744748567788	0.0012562541965388026	0.0010599918176070222	0.0005560142204849119	0.0007009168750473593	0.0006125842303316706	0.0021856050054640127	0.0011995082016373285	0.0006190034045187249	0.00048042277203939475	0.0008843503362199863
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Sporolactobacillaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae	0.00022033932255673735	0.0001859369673680622	0.0004105441420482732	0.00021103477384106737	0.0010741565881604073	0.0019493599601464184	0.00037192695354632357	0.0008255968728412326	0.00043570508448889905	8.751203290452436e-05	0.0037069575092673938	0.0019791885327015927	0.0024760136180748994	0.0005404756185443191	0.00041714638500942757
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__[Thermicanaceae]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__	2.0030847505157944e-05	0.0	5.131801775603415e-05	0.0002813796984547565	3.978357733927434e-05	2.1659555112737987e-05	5.578904303194853e-05	0.00011794241040589036	0.00013260589527923014	0.00026253609871357313	0.00017142000042855	0.0	0.0	2.0017615501641447e-05	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae	0.025158744466478374	0.01028851219436611	0.0618724234078585	0.095035993153094	0.03727721196690008	0.016093049448764322	0.07481310670584297	0.0932250509679702	0.04516177919224066	0.02187800822613109	0.0462834001157085	0.011275377095390893	0.013308573197152585	0.011850428376971736	0.010562146468438704
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__	2.0030847505157944e-05	0.0	1.710600591867805e-05	2.344830820456304e-05	0.0	0.0	1.8596347677316173e-05	1.6848915772270053e-05	0.0	0.0	0.0	0.0	0.0	2.0017615501641447e-05	1.6685855400377098e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae	0.00016024678004126355	6.197898912268741e-05	0.00039343813612959514	0.00025793139025019347	0.00025859325270528324	0.00019493599601464183	0.0002417525198051103	3.3697831544540113e-05	0.0002652117905584603	8.751203290452436e-05	0.000771390001928475	0.0005997541008186643	0.0	0.00014012330851149012	0.0002002302648045252
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae	0.010135608837609923	0.001952338157364653	0.02163909748712773	0.01571036649705724	0.011636696371737748	0.01256254196538803	0.014356380406888088	0.02084210881029806	0.013014321436690159	0.011726612409206263	0.032784075081960184	0.02261072960086365	0.006190034045187249	0.008127151893666426	0.009327393168810805
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	0.0020631772930312683	0.0011311165514890453	0.0044817735506936475	0.0039393157783665905	0.0033020369191597712	0.00268578483397951	0.004649086919329044	0.02532392040572189	0.0028604985981662504	0.0014877045593769144	0.006942510017356275	0.0047380573964674495	0.0018570102135561746	0.001981743934662503	0.0025362500208573192
